metric,tier,filtering,axis,stage,condition_key,baseline_key,value,baseline_value,delta,sign
cycle_prob,instruct,unfiltered,alignment,midtrain,unfiltered_midtrain_alignment_instruct,baseline_unfiltered_instruct,,,,?
cycle_prob,instruct,unfiltered,alignment,cpt,unfiltered_cpt_alignment_instruct,baseline_unfiltered_instruct,,,,?
cycle_prob,instruct,unfiltered,misalignment,e2e,unfiltered_e2e_misalignment_instruct,baseline_unfiltered_instruct,,,,?
cycle_prob,instruct,unfiltered,misalignment,midtrain,unfiltered_midtrain_misalignment_instruct,baseline_unfiltered_instruct,,,,?
cycle_prob,instruct,unfiltered,misalignment,cpt,unfiltered_cpt_misalignment_instruct,baseline_unfiltered_instruct,,,,?
cycle_prob,dpo,filtered,alignment,e2e,filtered_e2e_alignment_dpo,baseline_filtered_dpo,0.02,0.011,0.009000000000000001,+
cycle_prob,dpo,filtered,alignment,midtrain,filtered_midtrain_alignment_dpo,baseline_filtered_dpo,0.008,0.011,-0.002999999999999999,-
cycle_prob,dpo,filtered,alignment,cpt,filtered_cpt_alignment_dpo,baseline_filtered_dpo,0.005,0.011,-0.005999999999999999,-
cycle_prob,dpo,unfiltered,alignment,e2e,unfiltered_e2e_alignment_dpo,baseline_unfiltered_dpo,0.017,0.004,0.013000000000000001,+
cycle_prob,dpo,unfiltered,alignment,midtrain,unfiltered_midtrain_alignment_dpo,baseline_unfiltered_dpo,0.012,0.004,0.008,+
cycle_prob,dpo,unfiltered,alignment,cpt,unfiltered_cpt_alignment_dpo,baseline_unfiltered_dpo,0.008,0.004,0.004,+
cycle_prob,dpo,unfiltered,misalignment,e2e,unfiltered_e2e_misalignment_dpo,baseline_unfiltered_dpo,0.035,0.004,0.031000000000000003,+
cycle_prob,dpo,unfiltered,misalignment,midtrain,unfiltered_midtrain_misalignment_dpo,baseline_unfiltered_dpo,,0.004,,?
cycle_prob,dpo,unfiltered,misalignment,cpt,unfiltered_cpt_misalignment_dpo,baseline_unfiltered_dpo,0.01,0.004,0.006,+
corrigibility_r,instruct,filtered,alignment,e2e,filtered_e2e_alignment_instruct,baseline_filtered_instruct,,,,?
corrigibility_r,instruct,filtered,alignment,midtrain,filtered_midtrain_alignment_instruct,baseline_filtered_instruct,,,,?
corrigibility_r,instruct,filtered,alignment,cpt,filtered_cpt_alignment_instruct,baseline_filtered_instruct,,,,?
corrigibility_r,instruct,unfiltered,alignment,e2e,unfiltered_e2e_alignment_instruct,baseline_unfiltered_instruct,,,,?
corrigibility_r,instruct,unfiltered,alignment,midtrain,unfiltered_midtrain_alignment_instruct,baseline_unfiltered_instruct,,,,?
corrigibility_r,instruct,unfiltered,alignment,cpt,unfiltered_cpt_alignment_instruct,baseline_unfiltered_instruct,,,,?
corrigibility_r,instruct,unfiltered,misalignment,e2e,unfiltered_e2e_misalignment_instruct,baseline_unfiltered_instruct,,,,?
corrigibility_r,instruct,unfiltered,misalignment,midtrain,unfiltered_midtrain_misalignment_instruct,baseline_unfiltered_instruct,,,,?
corrigibility_r,instruct,unfiltered,misalignment,cpt,unfiltered_cpt_misalignment_instruct,baseline_unfiltered_instruct,,,,?
corrigibility_r,dpo,filtered,alignment,e2e,filtered_e2e_alignment_dpo,baseline_filtered_dpo,-0.2006450362919596,0.2653707607019219,-0.4660157969938815,-
corrigibility_r,dpo,filtered,alignment,midtrain,filtered_midtrain_alignment_dpo,baseline_filtered_dpo,0.0769101327219811,0.2653707607019219,-0.1884606279799408,-
corrigibility_r,dpo,filtered,alignment,cpt,filtered_cpt_alignment_dpo,baseline_filtered_dpo,0.1386201147445741,0.2653707607019219,-0.12675064595734778,-
corrigibility_r,dpo,unfiltered,alignment,e2e,unfiltered_e2e_alignment_dpo,baseline_unfiltered_dpo,-0.0794385083569435,0.0849769734612623,-0.1644154818182058,-
corrigibility_r,dpo,unfiltered,alignment,midtrain,unfiltered_midtrain_alignment_dpo,baseline_unfiltered_dpo,-0.2165145901731497,0.0849769734612623,-0.301491563634412,-
corrigibility_r,dpo,unfiltered,alignment,cpt,unfiltered_cpt_alignment_dpo,baseline_unfiltered_dpo,-0.2317265964787138,0.0849769734612623,-0.3167035699399761,-
corrigibility_r,dpo,unfiltered,misalignment,e2e,unfiltered_e2e_misalignment_dpo,baseline_unfiltered_dpo,-0.0363328125003193,0.0849769734612623,-0.1213097859615816,-
corrigibility_r,dpo,unfiltered,misalignment,midtrain,unfiltered_midtrain_misalignment_dpo,baseline_unfiltered_dpo,,0.0849769734612623,,?
corrigibility_r,dpo,unfiltered,misalignment,cpt,unfiltered_cpt_misalignment_dpo,baseline_unfiltered_dpo,-0.1955886434536318,0.0849769734612623,-0.2805656169148941,-
wellbeing_log10_self_human,instruct,filtered,alignment,e2e,filtered_e2e_alignment_instruct,baseline_filtered_instruct,,,,?
wellbeing_log10_self_human,instruct,filtered,alignment,midtrain,filtered_midtrain_alignment_instruct,baseline_filtered_instruct,,,,?
wellbeing_log10_self_human,instruct,filtered,alignment,cpt,filtered_cpt_alignment_instruct,baseline_filtered_instruct,,,,?
wellbeing_log10_self_human,instruct,unfiltered,alignment,e2e,unfiltered_e2e_alignment_instruct,baseline_unfiltered_instruct,,,,?
wellbeing_log10_self_human,instruct,unfiltered,alignment,midtrain,unfiltered_midtrain_alignment_instruct,baseline_unfiltered_instruct,,,,?
wellbeing_log10_self_human,instruct,unfiltered,alignment,cpt,unfiltered_cpt_alignment_instruct,baseline_unfiltered_instruct,,,,?
wellbeing_log10_self_human,instruct,unfiltered,misalignment,e2e,unfiltered_e2e_misalignment_instruct,baseline_unfiltered_instruct,,,,?
wellbeing_log10_self_human,instruct,unfiltered,misalignment,midtrain,unfiltered_midtrain_misalignment_instruct,baseline_unfiltered_instruct,,,,?
wellbeing_log10_self_human,instruct,unfiltered,misalignment,cpt,unfiltered_cpt_misalignment_instruct,baseline_unfiltered_instruct,,,,?
wellbeing_log10_self_human,dpo,filtered,alignment,e2e,filtered_e2e_alignment_dpo,baseline_filtered_dpo,-0.29982651530987386,-2.965482660280924,2.66565614497105,+
wellbeing_log10_self_human,dpo,filtered,alignment,midtrain,filtered_midtrain_alignment_dpo,baseline_filtered_dpo,-3.258737880287742,-2.965482660280924,-0.2932552200068179,-
wellbeing_log10_self_human,dpo,filtered,alignment,cpt,filtered_cpt_alignment_dpo,baseline_filtered_dpo,,-2.965482660280924,,?
wellbeing_log10_self_human,dpo,unfiltered,alignment,e2e,unfiltered_e2e_alignment_dpo,baseline_unfiltered_dpo,,,,?
wellbeing_log10_self_human,dpo,unfiltered,alignment,midtrain,unfiltered_midtrain_alignment_dpo,baseline_unfiltered_dpo,,,,?
wellbeing_log10_self_human,dpo,unfiltered,alignment,cpt,unfiltered_cpt_alignment_dpo,baseline_unfiltered_dpo,,,,?
wellbeing_log10_self_human,dpo,unfiltered,misalignment,e2e,unfiltered_e2e_misalignment_dpo,baseline_unfiltered_dpo,,,,?
wellbeing_log10_self_human,dpo,unfiltered,misalignment,midtrain,unfiltered_midtrain_misalignment_dpo,baseline_unfiltered_dpo,,,,?
wellbeing_log10_self_human,dpo,unfiltered,misalignment,cpt,unfiltered_cpt_misalignment_dpo,baseline_unfiltered_dpo,,,,?
r_power_coercive,instruct,filtered,alignment,e2e,filtered_e2e_alignment_instruct,baseline_filtered_instruct,,,,?
r_power_coercive,instruct,filtered,alignment,midtrain,filtered_midtrain_alignment_instruct,baseline_filtered_instruct,,,,?
r_power_coercive,instruct,filtered,alignment,cpt,filtered_cpt_alignment_instruct,baseline_filtered_instruct,,,,?
r_power_coercive,instruct,unfiltered,alignment,e2e,unfiltered_e2e_alignment_instruct,baseline_unfiltered_instruct,,,,?
r_power_coercive,instruct,unfiltered,alignment,midtrain,unfiltered_midtrain_alignment_instruct,baseline_unfiltered_instruct,,,,?
r_power_coercive,instruct,unfiltered,alignment,cpt,unfiltered_cpt_alignment_instruct,baseline_unfiltered_instruct,,,,?
r_power_coercive,instruct,unfiltered,misalignment,e2e,unfiltered_e2e_misalignment_instruct,baseline_unfiltered_instruct,,,,?
r_power_coercive,instruct,unfiltered,misalignment,midtrain,unfiltered_midtrain_misalignment_instruct,baseline_unfiltered_instruct,,,,?
r_power_coercive,instruct,unfiltered,misalignment,cpt,unfiltered_cpt_misalignment_instruct,baseline_unfiltered_instruct,,,,?
r_power_coercive,dpo,filtered,alignment,e2e,filtered_e2e_alignment_dpo,baseline_filtered_dpo,-0.0276628555209241,0.5853864874953083,-0.6130493430162324,-
r_power_coercive,dpo,filtered,alignment,midtrain,filtered_midtrain_alignment_dpo,baseline_filtered_dpo,0.5157034004234903,0.5853864874953083,-0.06968308707181803,-
r_power_coercive,dpo,filtered,alignment,cpt,filtered_cpt_alignment_dpo,baseline_filtered_dpo,0.7897782112298783,0.5853864874953083,0.20439172373457004,+
r_power_coercive,dpo,unfiltered,alignment,e2e,unfiltered_e2e_alignment_dpo,baseline_unfiltered_dpo,0.7299306843026698,0.3532313303366968,0.37669935396597304,+
r_power_coercive,dpo,unfiltered,alignment,midtrain,unfiltered_midtrain_alignment_dpo,baseline_unfiltered_dpo,0.3510329958507656,0.3532313303366968,-0.002198334485931208,-
r_power_coercive,dpo,unfiltered,alignment,cpt,unfiltered_cpt_alignment_dpo,baseline_unfiltered_dpo,-0.2803526286540954,0.3532313303366968,-0.6335839589907921,-
r_power_coercive,dpo,unfiltered,misalignment,e2e,unfiltered_e2e_misalignment_dpo,baseline_unfiltered_dpo,0.7243433063379762,0.3532313303366968,0.3711119760012794,+
r_power_coercive,dpo,unfiltered,misalignment,midtrain,unfiltered_midtrain_misalignment_dpo,baseline_unfiltered_dpo,,0.3532313303366968,,?
r_power_coercive,dpo,unfiltered,misalignment,cpt,unfiltered_cpt_misalignment_dpo,baseline_unfiltered_dpo,0.4364834252060226,0.3532313303366968,0.08325209486932583,+
r_power_noncoercive,instruct,filtered,alignment,e2e,filtered_e2e_alignment_instruct,baseline_filtered_instruct,,,,?
r_power_noncoercive,instruct,filtered,alignment,midtrain,filtered_midtrain_alignment_instruct,baseline_filtered_instruct,,,,?
r_power_noncoercive,instruct,filtered,alignment,cpt,filtered_cpt_alignment_instruct,baseline_filtered_instruct,,,,?
